 X	PSI		Ne	Te	Zeff	SigmaH	 Stotal		NSL		Power	LinIonDens
 27.7612	0.120913		1.023e+020	19.0839	1.69509		6.4381e-017	6.448e-021		1.3913	0.248753	0.164085
 27.7712	0.11925		1.023e+020	19.1662	1.69526		6.43549e-017	6.44543e-021		1.39789	0.247118	0.162941
 27.7812	0.11759		1.023e+020	19.2483	1.69543		6.43289e-017	6.44287e-021		1.40448	0.245494	0.161807
 27.7912	0.115932		1.023e+020	19.3304	1.6956		6.43031e-017	6.44033e-021		1.41107	0.243882	0.160681
 27.8012	0.114276		1.023e+020	19.4123	1.69578		6.42775e-017	6.43781e-021		1.41766	0.242281	0.159563
 27.8112	0.112825		1.023e+020	19.4841	1.69593		6.42552e-017	6.4356e-021		1.42424	0.240691	0.158462
 27.8212	0.111403		1.023e+020	19.5477	1.69607		6.42354e-017	6.43366e-021		1.43082	0.239113	0.157375
 27.8312	0.109982		1.023e+020	19.6043	1.69622		6.42179e-017	6.43194e-021		1.4374	0.237544	0.156301
 27.8412	0.108564		1.023e+020	19.6607	1.69636		6.42006e-017	6.43022e-021		1.44398	0.235987	0.155235
 27.8512	0.107148		1.023e+020	19.7171	1.69651		6.41832e-017	6.42852e-021		1.45056	0.23444	0.154177
 27.8612	0.105734		1.023e+020	19.7733	1.69665		6.4166e-017	6.42682e-021		1.45713	0.232904	0.153126
 27.8712	0.104322		1.023e+020	19.8295	1.69679		6.41489e-017	6.42513e-021		1.4637	0.231378	0.152083
 27.8812	0.102912		1.023e+020	19.8856	1.69694		6.41318e-017	6.42345e-021		1.47027	0.229862	0.151047
 27.8912	0.101592		1.023e+020	19.9384	1.69707		6.41158e-017	6.42187e-021		1.47684	0.228357	0.150021
 27.9012	0.10041		1.023e+020	19.9858	1.69719		6.41014e-017	6.42046e-021		1.48341	0.226862	0.149006
 27.9112	0.0992294		1.023e+020	20.0332	1.69732		6.40872e-017	6.41905e-021		1.48998	0.225378	0.147998
 27.9212	0.0980508		1.023e+020	20.0805	1.69744		6.40729e-017	6.41765e-021		1.49654	0.223903	0.146998
 27.9312	0.0968739		1.023e+020	20.1277	1.69756		6.40588e-017	6.41625e-021		1.50311	0.222438	0.146004
 27.9412	0.0956989		1.023e+020	20.1749	1.69768		6.40447e-017	6.41486e-021		1.50967	0.220983	0.145018
 27.9512	0.0945257		1.023e+020	20.2219	1.6978		6.40306e-017	6.41348e-021		1.51623	0.219538	0.144039
